Ano,Categoria,Indicador,Curso_ou_Projeto,Quantidade_Mulheres,Detalhes
2016,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,26,
2016,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,7,
2016,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,88,
2016,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,7,Alunas vindas do técnico
2016,Estudantes,Ingressantes,Técnico em Informática para Internet,24,
2016,Estudantes,Concluintes,Técnico em Informática para Internet,3,
2016,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,93,
2016,Estudantes,Ingressantes,Técnico em Informática,27,
2016,Estudantes,Concluintes,Técnico em Informática,11,
2016,Estudantes,Taxa de Permanência,Técnico em Informática,94,
2016,Estudantes,Ingressantes,Técnico Subsequente,29,
2016,Estudantes,Concluintes,Técnico Subsequente,3,
2016,Estudantes,Taxa de Permanência,Técnico Subsequente,74,
2017,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,16,
2017,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,9,
2017,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,90,
2017,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,2,Alunas vindas do técnico
2017,Estudantes,Ingressantes,Técnico em Informática para Internet,27,
2017,Estudantes,Concluintes,Técnico em Informática para Internet,2,
2017,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,75,
2017,Estudantes,Ingressantes,Técnico em Informática,21,
2017,Estudantes,Concluintes,Técnico em Informática,9,
2017,Estudantes,Taxa de Permanência,Técnico em Informática,91,
2017,Estudantes,Ingressantes,Técnico Subsequente,12,
2017,Estudantes,Concluintes,Técnico Subsequente,9,
2017,Estudantes,Taxa de Permanência,Técnico Subsequente,86,
2018,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,15,
2018,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,2,
2018,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,71,
2018,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,2,Alunas vindas do técnico
2018,Estudantes,Ingressantes,Técnico em Informática para Internet,17,
2018,Estudantes,Concluintes,Técnico em Informática para Internet,2,
2018,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,86,
2018,Estudantes,Ingressantes,Técnico em Informática,29,
2018,Estudantes,Concluintes,Técnico em Informática,4,
2018,Estudantes,Taxa de Permanência,Técnico em Informática,94,
2018,Estudantes,Ingressantes,Técnico Subsequente,28,
2018,Estudantes,Concluintes,Técnico Subsequente,7,
2018,Estudantes,Taxa de Permanência,Técnico Subsequente,76,
2019,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,24,
2019,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,8,
2019,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,77,
2019,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,6,Alunas vindas do técnico
2019,Estudantes,Ingressantes,Técnico em Informática para Internet,17,
