ano,premio,descricao
2025,Prêmio de Projeto Parceiro Destaque,"Prêmio de Projeto Parceiro Destaque pelo maior número de citações no WIT com o artigo: SANTANA, Thalia Santos de; BRAGA, Adriano Honorato. Uma Análise Cienciométrica das Publicações do Congresso da Sociedade Brasileira de Computação na Perspectiva das Mulheres na Computação. In: XIV Women in Information Technology (WIT)."
2025,Terceiro Lugar,"Terceiro Lugar no Prêmio LAWCC pela apresentação do artigo: ""Experiences and trajectories of graduates of integrated high school in Informatics: a qualitative analysis on the project Meninas Digitais no Cerrado"", no XVII Congreso de la Mujer Latinoamericana en la Computación, da LI Conferencia Latinoamericana de Informática (CLEI), realizado na Pontifícia Universidade Católica de Valparaíso - Chile."
2024,Prêmio de Projeto Parceiro Destaque no Centro-Oeste,Prêmio de Projeto Parceiro Destaque no Centro-Oeste concedido ao projeto Meninas Digitais no Cerrado no XVIII Women in Information Technology - Brasília.
2023,Terceiro Lugar,"Terceiro Lugar no Prêmio LAWCC pela apresentação do artigo: ""A Rede EPT como Instrumento de Promoção da Equidade de Gênero na Computação"", no XV Congreso de la Mujer Latinoamericana en la Computación, da XLIX Conferencia Latinoamericana de Informática (CLEI), realizado na Universidad Mayor de San Andrés, em La Paz, Bolívia."
2023,Trabalho destaque,"Trabalho destaque no V Integra IF Goiano com a apresentação oral: ""Contribuições do projeto Meninas Digitais no Cerrado no âmbito do IF Goiano - Campus Ceres"", realizado no Instituto Federal Goiano - Campus Trindade."
2023,Terceiro Lugar,"Terceiro Lugar na Categoria Ciências da Natureza, Saúde e Tecnologia no XII Seminário Interno de Iniciação Científica com o trabalho: ""Contribuições do projeto Meninas Digitais no Cerrado no âmbito do IF Goiano - Campus Ceres"", realizado no Instituto Federal Goiano - Campus Ceres."
2022,Artigo destaque,"Artigo destaque pelo maior número de citações no quinquênio anual com o trabalho: ""Agindo sobre a diferença: atividades de empoderamento feminino em prol da permanência de mulheres em cursos de Tecnologia da Informação"" (2019), no 16º Women in Information Technology & Fórum Meninas Digitais, do XLII Congresso da Sociedade Brasileira de Computação, realizado na Universidade Federal Fluminense, em Niterói, RJ."
2021,Melhor Trabalho (Artigos Curtos),"Melhor Trabalho (Artigos Curtos) com o trabalho: ""A interdisciplinaridade em um curso de extensão como forma de empoderamento feminino na computação"", no 15º Women in Information Technology & Fórum Meninas Digitais, do XLI Congresso da Sociedade Brasileira de Computação, realizado virtualmente."
2021,Melhor Trabalho na Trilha Extensão,"Melhor Trabalho na Trilha Extensão do Concurso de Trabalhos Técnicos com o trabalho: ""Promoção da equidade de gênero por meio de ações extensionistas das Meninas Digitais no Cerrado em tempos de pandemia"", no XII Computer on the Beach, realizado virtualmente."
2021,Melhores Trabalhos,"Melhores Trabalhos do IV Encontro de Licenciaturas e Pesquisa em Educação (Elped), realizado virtualmente, com o trabalho ""Êxitos e desafios na experiência de extensão online: Curso Meninas Digitais no Cerrado 'Trabalhando o empoderamento feminino por meio da história das mulheres na computação'"", sendo selecionado para publicação na revista ""Ciclo Revista"" do IF Goiano."
2021,Trabalho Nota 10 e Primeiro Lugar,"Trabalho Nota 10 e Primeiro Lugar na Categoria Sistemas de Informação no X Seminário Interno de Iniciação Científica com o trabalho: ""O rendimento escolar de disciplinas técnicas como forma de análise da verticalização de ensino no contexto de gênero"", realizado virtualmente."
2020,Menção Honrosa (Artigos Curtos),"Menção Honrosa (Artigos Curtos) com o trabalho: ""Uma Análise Cienciométrica das Publicações do Congresso da Sociedade Brasileira de Computação na Perspectiva das Mulheres na Computação"", no 14º Women in Information Technology & Fórum Meninas Digitais, do XL Congresso da Sociedade Brasileira de Computação, realizado virtualmente."
2020,Menção Honrosa,"Menção Honrosa na Categoria Ensino Médio no IX Seminário Interno de Iniciação Científica com o trabalho: ""Meninas Digitais no Cerrado: uma análise comparativa do rendimento escolar por gênero em disciplinas técnicas dos cursos de Informática do Campus Ceres do IF Goiano"", realizado no Instituto Federal Goiano - Campus Ceres."
2019,Pôster destaque,"Pôster destaque no I Integra IF Goiano com o trabalho: ""Meninas Digitais no Cerrado: Experiências de empoderamento feminino em computação"", realizado no Instituto Federal Goiano - Campus Ceres."
2019,Trabalho destaque,"Trabalho destaque no I Integra IF Goiano com a apresentação oral: ""Meninas Digitais no Cerrado: Uma análise comparativa por gênero e rendimento acadêmico de estudantes de cursos técnicos e de graduação"", realizado no Instituto Federal Goiano - Campus Ceres."
