ano,nome,funcao,tipo_atividade,local,link

# Padrão adotado: As definições acima foram estabelecidas conforme a padronização do Currículo Lattes.
# Organização: Atuação na organização e promoção do evento.
# Participante: Apresentação de trabalhos, publicação de artigos, palestras dadas ou condução de oficinas.
# Ouvinte: Presença no evento para assistir às apresentações e palestras.

2026,XX Women in Information Technology (WIT),Participante,Divulgação Científica,Gramado - RS,https://sol.sbc.org.br/index.php/wit/article/view/43390/43154
2026,OBI das Meninas,Organização,Capacitação Tecnológica,IF Goiano - Campus Ceres,
2026,Pint of Science,Participante,Construção humana,Caseirinhos de Cada Dia (Ceres - GO),
2026,II Encontro de Mulheres e Meninas nas Ciências,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2026,Acolhimento de Calouras,Organização,Construção humana,IF Goiano - Campus Ceres,
2025,XXVI Feira de Ciência e Tecnologia,Organização,Capacitação Tecnológica,IF Goiano - Campus Ceres,
2025,13ª Escola Regional de Informática de Goiás (ERIGO),Participante,Divulgação Científica,Escola SESI/SENAI (Luziânia - GO),https://sol.sbc.org.br/index.php/erigo/article/view/39524
2025,VII Integra IF Goiano,Participante,Divulgação Científica,IF Goiano - Campus Rio Verde,https://eventos.ifgoiano.edu.br/media/arquivos/ANAIS_2025_XIV_CPPG_compressed.pdf#page=1229
2025,XVII Congresso Latino-Americano de Mulheres na Computação (LAWCC),Participante,Divulgação Científica,Pontificia Universidad Católica de Valparaíso (PUCV) - Chile,https://ceur-ws.org/Vol-4185/paper3.pdf
2025,XIX Women in Information Technology (WIT),Participante,Representação e ampliação de alcance,Maceió - AL,
2025,5ª Simpósio Brasileiro de Educação em Computação (EduComp),Participante,Capacitação Tecnológica,Juiz de Fora - MG,
2025,International Women's Day (IWD Cerrado),Ouvinte,Viagem Técnica,Goiânia - GO,
2025,Capacitação "Do Circuito ao Código",Organização,Capacitação Tecnológica,IF Goiano - Campus Ceres,
2025,Estratégia de Comunicação Científica no Instagram,Participante,Capacitação Tecnológica,Online,
2025,IX Ada Lovelace Day,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
