ano,referencia,alcance,autoria,link
2026,"SILVA,Maria Luiza Fernandes; FARIAS, Sara Luiz de; MACHADO, Janiele de Farias; DUARTE, Manoela Amaral; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin. Projeto Literário Feminista na Computação como Estratégia de Pertencimento e Formação Crítica de Gênero. In: WOMEN IN INFORMATION TECHNOLOGY (WIT),20., 2026, Gramado/RS. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2026 . p. 596-606. ISSN 2763-8626.",Nacional,Maria Luiza Fernandes Silva; Sara Luiz de Farias; Janiele de Farias Machado; Manoela Amaral Duarte; Thalia Santos de Santana; Ramayane Bonacin Braga,https://sol.sbc.org.br/index.php/wit/article/view/43390
2025,"FARIAS,Sara Luiz de; MACHADO, Janiele de Farias; SILVA, Maria Luiza Fernandes; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin. Participação Feminina no Ensino Técnico e Superior em Computação: Uma Análise no Campus Ceres do IF Goiano. In: XIII Escola Regional de Informática de Goiás (ERI-GO) , 2025, Luziânia/GO. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2025. p. 215-223.",Nacional,Sara Luiz de Farias; Janiele de Farias Machado; Maria Luiza Fernandes Silva; Thalia Santos de Santana; Ramayane Bonacin Braga,https://sol.sbc.org.br/index.php/erigo/article/view/39524 
2025,"MACHADO,Janiele de Farias; CARVALHO, Alanna Leticia Pessoa de; OLIVEIRA, Ana Carolina Xavier de; FARIAS, Sara Luiz de; BRAGA, Ramayane Bonacin; SANTANA, Thalia Santos de. Promoção da Equidade de Gênero na Computação: Ações do Projeto Meninas Digitais no Cerrado na Rede Nacional RENACEE_MD. In: VII Integra IF Goiano, 15° Semapós, 14° CPPG, 7ª MIDEX e 2ª SIA , 2025. Anais [...]. Rio Verde: IF Goiano, 2025. p. 1229-1230.",Nacional,Janiele de Farias Machado; Alanna Leticia Pessoa de Carvalho; Ana Carolina Xavier de Oliveira; Sara Luiz de Farias; Ramayane Bonacin Braga; Thalia Santos de Santana,https://eventos.ifgoiano.edu.br/media/arquivos/ANAIS_2025_XIV_CPPG_compressed.pdf#page=1229 
2025,"BRAGA,Ramayane Bonacin; SANTANA, Thalia Santos de; FARIAS, Sara Luiz de; SÃO BERNARDO, Mirelle Amaral de; SOUSA, Marcos de Moraes. Experiences and trajectories of graduates of integrated high school in Informatics: a qualitative analysis on the project Meninas Digitais no Cerrado. In: XVII Latin American Women in Computing Congress (LAWCC) , 2025, Valparaíso, Chile. Anais [...]. 2025. p. 1-12.",Internacional,Ramayane Bonacin Braga; Thalia Santos de Santana; Sara Luiz de Farias; Mirelle Amaral de São Bernardo; Marcos de Moraes Sousa,https://ceur-ws.org/Vol-4185/paper3.pdf
2024,"FARIAS,Sara Luiz de; SANTANA, Thalia Santos de; SILVA, Maria Luiza Fernandes; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato. “Era uma vez Lovelace”: Explorando a Contribuição Feminina na Computação por meio de um Jogo Didático. In: WOMEN IN INFORMATION TECHNOLOGY (WIT) , 18., 2024, Brasília/DF. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2024. p. 138-148. ISSN 2763-8626.",Nacional,Sara Luiz de Farias; Thalia Santos de Santana; Maria Luiza Fernandes Silva; Ramayane Bonacin Braga; Adriano Honorato Braga,https://doi.org/10.5753/wit.2024.2555 
2024,"BRAGA,Ramayane Bonacin; SÃO BERNARDO, Mirelle Amaral de; FARIAS, Sara Luiz de; SANTANA, Thalia Santos de; SOUSA, Marcos de Moraes. Initiatives of Female Empowerment in Computing Implemented at the High School Level: A Systematic Mapping. Societies , v. 14, n. 9, p. 167, 2024.",Nacional,Ramayane Bonacin Braga; Mirelle Amaral de São Bernardo; Sara Luiz de Farias; Thalia Santos de Santana; Marcos de Moraes Sousa,https://doi.org/10.3390/soc14090167
2024,"SILVA,Maria Luiza Fernandes; FARIAS, Sara Luiz de; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato. Um Jogo da Memória como Instrumento da Prática Extensionista: Recontando a História das Mulheres na Computação. In: XII Escola Regional de Informática de Goiás (ERI-GO) , 2024, Ceres/GO. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2024. p. 235-238.",Nacional,Maria Luiza Fernandes Silva; Sara Luiz de Farias; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga,https://doi.org/10.5753/erigo.2024.4855
2024,"SILVA,Maria Luiza Fernandes; FARIAS, Sara Luiz de; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato. Meninas Digitais no Cerrado: trabalhando o tripé de ensino, pesquisa e extensão em um projeto de empoderamento feminino na tecnologia. In: XII Escola Regional de Informática de Goiás (ERI-GO) , 2024, Ceres/GO. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2024. p. 259-260.",Nacional,Maria Luiza Fernandes Silva; Sara Luiz de Farias; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga,https://doi.org/10.5753/erigo.2024.5093
2023,"BRAGA,Ramayane Bonacin. Meninas Digitais no Cerrado: Um estudo de caso sobre um projeto de empoderamento feminino na Computação do IF Goiano - Campus Ceres. 143 f. Dissertação (Programa de Pós-Graduação em Educação Profissional e Tecnológica - ProfEPT) , Instituto Federal Goiano, Ceres, 2023.",Nacional,Ramayane Bonacin Braga,https://repositorio.ifgoiano.edu.br/handle/prefix/4141
2023,"FARIAS,Sara Luiz de; NUNES, Maria Isabela Silva; LOUZADA, Natália do Carmo; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato. The Brazilian Professional, Scientific, and Technological Education System as an Instrument for Promoting Gender Equality in Computing. Proceedings XV Congress of Latin American Women in Computing 2023 , October 16–20, 2023, La Paz, Bolivia.",Internacional,Sara Luiz de Farias; Maria Isabela Silva Nunes; Natália do Carmo Louzada; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga,https://ceur-ws.org/Vol-3607/paper18.pdf
